SC,名称,市場,業種,時価総額(百万円),発行済株式数,配当利回り（予想）,1株配当（予想）,PER（予想）,PBR（実績）,EPS（予想）,BPS（実績）,最低購入額,単元株,高値日付,年初来高値,安値日付,年初来安値
7291,日本プラスト,東証ST,輸送用機器,6172,19410000,4.72,15,6.69,0.18,47.54,1747.16,31800,100,20250107,370,20250407,265
7292,村上開明堂,東証ST,輸送用機器,67155,12100000,3.24,180,10.7,0.75,518.59,7374.56,555000,100,20250108,6410,20250407,4505
7294,ヨロズ,東証PR,輸送用機器,24905,25055636,3.12,31,-,0.41,-697.09,2407.27,99400,100,20250106,1212,20250409,839
7296,エフ・シー・シー,東証PR,輸送用機器,153046,52056530,6.87,202,11.3,0.74,260.22,3957.1,294000,100,20250321,3350,20250407,2480
7297,カーメイト,東証ST,輸送用機器,6835,7928885,3.48,30,-,0.4,-47.07,2163.45,86200,100,20250422,899,20250407,810
7299,フジオーゼックス,東証ST,輸送用機器,14032,10279750,3.81,52,9.29,0.46,146.93,2950.98,136500,100,20250327,1483,20250407,1100
7305,新家工業,東証ST,鉄鋼,27899,6045326,6.5,300,15.11,0.73,305.39,6336.99,461500,100,20250210,5460,20250407,3945
7313,テイ・エステック,東証PR,輸送用機器,219912,136000000,5.13,83,16.58,0.61,97.54,2641.55,161700,100,20250106,1802,20250407,1396
7322,三十三フィナンシャルグループ,東証PR,銀行,57333,26167585,4.29,94,7.13,0.27,307.44,8073.65,219100,100,20250321,2528,20250407,1770
7327,第四北越フィナンシャルグループ,東証PR,銀行,272809,91885956,4.24,126,9.27,0.53,320.33,5649.99,296900,100,20250321,3415,20250407,2303
7337,ひろぎんホールディングス,東証PR,銀行,350460,308775621,4.14,47,9.82,0.65,115.56,1757.16,113500,100,20250321,1298,20250407,895
7343,ブロードマインド,東証GR,保険,5757,5886816,4.29,42,109.4,1.47,8.94,664,97800,100,20250207,1630,20250407,811
7350,おきなわフィナンシャルグループ,東証PR,銀行,54572,23016564,3.8,90,7.67,0.33,309,7291.37,237100,100,20250324,2725,20250407,1942
7357,ジオコード,東証ST,サービス,1670,2783100,4.17,25,46.37,1.43,12.94,420.91,60000,100,20250130,758,20250407,510
7358,ポピンズ,東証ST,サービス,11449,10177300,3.56,40,10.97,1.29,102.58,872.65,112500,100,20250129,1235,20250407,984
7367,セルム,東証ST,サービス,9328,25838000,3.88,14,11.09,2.86,32.56,126.06,36100,100,20250128,386,20250407,277
7368,表示灯,東証ST,サービス,7496,4720245,3.78,60,13.34,0.99,119.06,1609.48,158800,100,20250214,1750,20250407,1400
7370,Enjin,東証GR,サービス,5606,7280200,4.94,38,10.97,1.23,70.19,623.89,77000,100,20250328,777,20250407,626
7374,コンフィデンス・インターワークス,東証GR,サービス,9553,6708777,4.56,65,8.17,1.57,174.31,908.31,142400,100,20250210,1634,20250407,1256
7377,DNホールディングス,東証ST,サービス,16722,8420000,3.52,70,9.26,1.2,214.47,1656.52,198600,100,20250502,2016,20250106,1646
7380,十六フィナンシャルグループ,東証PR,銀行,172555,37924134,3.96,180,7.91,0.38,575.09,11997.17,455000,100,20250327,5290,20250407,3560
7381,北國フィナンシャルホールディングス,東証PR,銀行,113532,23408582,4.12,200,10.01,0.52,484.5,9338.59,485000,100,20250327,6230,20250407,4280
7384,プロクレアホールディングス,東証PR,銀行,45138,28658957,3.17,50,37.29,0.27,42.24,5806.84,157500,100,20250321,1849,20250407,1303
